2020-09-05 19:25:56,449 Training parameters: {'__module__': '__main__', 'dataset': 'cub', 'config': 'config1.json', 'sz_embedding': 64, 'sz_batch': 32, 'nb_epochs': 50, 'log_filename': 'cub-20200905-192554', 'gpu_id': 0, 'nb_workers': 4, 'with_nmi': True, 'scaling_x': 3.0, 'scaling_p': 3.0, 'lr_proxynca': 1.0, '__dict__': <attribute '__dict__' of 'args' objects>, '__weakref__': <attribute '__weakref__' of 'args' objects>, '__doc__': None}
2020-09-05 19:25:56,450 Training for 50 epochs.
2020-09-05 19:25:56,451 **Evaluating initial model...**
2020-09-05 19:26:17,044 NMI: 46.347
2020-09-05 19:26:17,694 R@1 : 32.394
2020-09-05 19:26:17,766 R@2 : 44.615
2020-09-05 19:26:17,838 R@4 : 57.444
2020-09-05 19:26:17,910 R@8 : 70.611
2020-09-05 19:26:43,147 Epoch: 0, loss: 4.127, time (seconds): 25.23.
2020-09-05 19:26:43,148 **Evaluating...**
2020-09-05 19:26:56,414 NMI: 40.056
2020-09-05 19:26:57,116 R@1 : 18.400
2020-09-05 19:26:57,188 R@2 : 27.819
2020-09-05 19:26:57,260 R@4 : 40.159
2020-09-05 19:26:57,332 R@8 : 53.646
2020-09-05 19:27:22,900 Epoch: 1, loss: 3.145, time (seconds): 25.57.
2020-09-05 19:27:22,900 **Evaluating...**
2020-09-05 19:27:35,038 NMI: 46.807
2020-09-05 19:27:35,708 R@1 : 28.174
2020-09-05 19:27:35,780 R@2 : 38.504
2020-09-05 19:27:35,853 R@4 : 50.540
2020-09-05 19:27:35,925 R@8 : 63.555
